category	subcategory	subsubcategory	unit	name	year	co2	ch4	n2o	other	total	uncertainty	ef.unit	method	module	nacres.description.en	per1p5macro.ef.kg.co2e.per.euro	meso.ef.kg.co2e.per.euro	micro.ef.kg.co2e.per.euro	per1p5.uncertainty.attr.kg.co2e.per.euro	micro.code	micro.description	meso.code	meso.description	uncertainty.groupby
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA44	euro	EQUIPEMENTS DE CUISINE ET DE SALLE DE RESTAURATION (ELECTROMENAGER,_x001A_)	2019	0.0	0.0	0.0	0.0	0.7	0.5599999999999999	kg eCO2/euro	macro	purchases	KITCHEN AND CATERING EQUIPMENT (APPLIANCES,...)	0.7			0.29					AA44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA51	euro	PETITES FOURNITURES POUR L'HOTELLERIE	2019	0.0	0.0	0.0	0.0	0.55	0.4400000000000001	kg eCO2/euro	macro	purchases	SMALL SUPPLIES FOR THE HOTEL INDUSTRY	0.55			0.23					AA51
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA52	euro	MOBILIER D'HOTELLERIE	2019	0.0	0.0	0.0	0.0	0.62	0.496	kg eCO2/euro	macro	purchases	HOTEL FURNITURE	0.62			0.33					AA52
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA53	euro	EQUIPEMENT POUR L'HOTELLERIE ET LA BUANDERIE	2019	0.0	0.0	0.0	0.0	0.7	0.5599999999999999	kg eCO2/euro	macro	purchases	HOTEL AND LAUNDRY EQUIPMENT	0.7			0.25					AA53
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA61	euro	SERVICES DE RESTAURATION SOCIALE (RESTAURANT PROPRE A GESTION CONCEDEE)	2019	0.0	0.0	0.0	0.0	0.32	0.256	kg eCO2/euro	macro	purchases	SOCIAL CATERING SERVICES (OWN RESTAURANT UNDER MANAGEMENT)	0.32			0.07					CB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA62	euro	TICKETS ET CHEQUES REPAS	2019	0.0	0.0	0.0	0.0	0.32	0.256	kg eCO2/euro	macro	purchases	MEAL TICKETS AND VOUCHERS	0.32			0.07					CB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA63	euro	SERVICES DE TRAITEURS / PLATEAUX REPAS	2019	0.0	0.0	0.0	0.0	0.34	0.272	kg eCO2/euro	macro	purchases	CATERING SERVICES / MEAL TRAYS	0.34			0.05					CB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA64	euro	SERVICES DE RESTAURATION EXTERIEURS (RESTAURANTS)	2019	0.0	0.0	0.0	0.0	0.34	0.272	kg eCO2/euro	macro	purchases	EXTERNAL CATERING SERVICES (RESTAURANTS)	0.34			0.05					CB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA65	euro	SERVICES DE CONTROLES SANITAIRES ET DE QUALITE	2019	0.0	0.0	0.0	0.0	0.25	0.2	kg eCO2/euro	macro	purchases	SANITARY AND QUALITY CONTROL SERVICES	0.25			0.11					AA65
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA66	euro	SERVICES DE BLANCHISSERIE- PRESSING POUR LA RESTAURATION ET L'HOTELLERIE	2019	0.0	0.0	0.0	0.0	0.21	0.168	kg eCO2/euro	macro	purchases	LAUNDRY AND DRY CLEANING SERVICES FOR THE CATERING AND HOTEL INDUSTRY	0.21			0.03					AA66
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA71	euro	REPARATION ET MAINTECE DES EQUIPEMENTS DE RESTAURATION ET DE CUISINE	2019	0.0	0.0	0.0	0.0	0.23	0.184	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF CATERING AND KITCHEN EQUIPMENT	0.23			0.15					AB11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA72	euro	REPARATION ET MAINTECE DES EQUIPEMENTS D'HOTELLERIE ET BUANDERIE	2019	0.0	0.0	0.0	0.0	0.23	0.184	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF HOTEL AND LAUNDRY EQUIPMENT	0.23			0.15					AB11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AB01	euro	PETITES FOURNITURES ET PETITS EQUIPEMENTS DE BUREAU (HORS INFORMATIQUE)	2019	0.0	0.0	0.0	0.0	0.5	0.4	kg eCO2/euro	macro	purchases	SMALL OFFICE SUPPLIES AND EQUIPMENT (EXCLUDING COMPUTERS)	0.5			0.12					CG01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AB02	euro	MOBILIER DE BUREAU ET DE SALLES DE REUNION	2019	0.0	0.0	0.0	0.0	0.42	0.336	kg eCO2/euro	macro	purchases	OFFICE AND MEETING ROOM FURNITURE	0.42			0.09					AB03
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AB03	euro	MOBILIER ET EQUIPEMENTS SPECIFIQUES ERGONOMIQUES	2019	0.0	0.0	0.0	0.0	0.42	0.336	kg eCO2/euro	macro	purchases	SPECIFIC ERGONOMIC FURNITURE AND EQUIPMENT	0.42			0.09					AB03
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AB11	euro	REPARATION ET MAINTECE DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION	2019	0.0	0.0	0.0	0.0	0.23	0.184	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF OFFICE AND MEETING ROOM EQUIPMENT	0.23			0.15					AB11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC01	euro	PAPIERS BLANCS OU COLORES COURANTS POUR IMPRESSION-REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.68	0.544	kg eCO2/euro	macro	purchases	COMMON WHITE OR COLORED PAPERS FOR PRINTING-REPROGRAPHY	0.68			0.19					AC01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC02	euro	PAPIERS CARTONNES POUR IMPRESSION-REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.67	0.536	kg eCO2/euro	macro	purchases	CARDBOARD PAPERS FOR PRINTING-REPROGRAPHY	0.67			0.2					AC01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC03	euro	AUTRES SUPPORTS PAPIER SPECIFIQUES D'IMPRESSION-REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.7	0.5599999999999999	kg eCO2/euro	macro	purchases	OTHER SPECIFIC PAPER SUPPORTS FOR PRINTING-REPROGRAPHY	0.7			0.18					AC01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC11	euro	CONSOMMABLES POUR PHOTOCOPIEURS (ENCRES, AGRAPHES,_x001A_)	2019	0.0	0.0	0.0	0.0	0.74	0.592	kg eCO2/euro	macro	purchases	CONSUMABLES FOR PHOTOCOPIERS (INKS, STENCILS,...)	0.74			0.28					IA22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC12	euro	SUPPORTS SPECIFIQUES D'IMPRESSION	2019	0.0	0.0	0.0	0.0	0.63	0.504	kg eCO2/euro	macro	purchases	SPECIFIC PRINTING SUPPORTS	0.63			0.26					AC12
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC21	euro	EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE	2019	0.0	0.0	0.0	0.0	0.49	0.392	kg eCO2/euro	macro	purchases	REPROGRAPHY EQUIPMENT OF PROXIMITY	0.49			0.09					IE36
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC22	euro	EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT POUR IMPRIMERIE	2019	0.0	0.0	0.0	0.0	0.49	0.392	kg eCO2/euro	macro	purchases	HIGH SPEED REPROGRAPHY EQUIPMENT FOR PRINTERS	0.49			0.09					IE36
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC23	euro	AUTRES EQUIPEMENTS POUR ATELIER DE REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.59	0.472	kg eCO2/euro	macro	purchases	OTHER REPROGRAPHY SHOP EQUIPMENT	0.59			0.1					AC23
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC31	euro	SERVICES D'IMPRESSION ET DE REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.35	0.28	kg eCO2/euro	macro	purchases	PRINTING AND REPROGRAPHY SERVICES	0.35			0.16					AC31
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC41	euro	REPARATION ET MAINTECE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF LOCAL REPROGRAPHIC EQUIPMENT	0.24			0.13					UF43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC42	euro	REPARATION ET MAINTECE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF HIGH-SPEED REPROGRAPHIC EQUIPMENT	0.24			0.13					UF43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AC43	euro	REPARATION ET MAINTECE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF OTHER REPROGRAPHY WORKSHOP EQUIPMENT	0.24			0.13					UF43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD01	euro	ACCESSOIRES ET PIECES DETACHEES POUR LE PARC DE VEHICULES	2019	0.0	0.0	0.0	0.0	0.6	0.48	kg eCO2/euro	macro	purchases	ACCESSORIES AND SPARE PARTS FOR THE VEHICLE FLEET	0.6			0.18					AD01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD02	euro	MATERIEL, OUTILLAGE ET EQUIPEMENTS DE GARAGE	2019	0.0	0.0	0.0	0.0	0.55	0.4400000000000001	kg eCO2/euro	macro	purchases	GARAGE EQUIPMENT AND TOOLS	0.55			0.05					AD02
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD03	euro	PRODUITS POUR L'ENTRETIEN DES VEHICULES	2019	0.0	0.0	0.0	0.0	1.3	1.04	kg eCO2/euro	macro	purchases	PRODUCTS FOR VEHICLE MAINTENANCE	1.3			0.5					AD03
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD04	euro	MATERIEL D'ESSAIS DE CHOCS ET ACCESSOIRES	2019	0.0	0.0	0.0	0.0	0.38	0.304	kg eCO2/euro	macro	purchases	IMPACT TEST EQUIPMENT AND ACCESSORIES	0.38			0.15					AD04
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD11	euro	VEHICULES AUTOMOBILES DE TRANSPORT DE PERSONNES (ACHAT OU LOC. LONGUE DUREE)	2019	0.0	0.0	0.0	0.0	0.56	0.4480000000000001	kg eCO2/euro	macro	purchases	PASSENGER VEHICLES (PURCHASE OR LONG TERM RENTAL)	0.56			0.06					AD11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD12	euro	VEHICULES AUTOMOBILES DE TRANSPORT EN COMMUN (ACHAT OU LOC. LONGUE DUREE)	2019	0.0	0.0	0.0	0.0	0.49	0.392	kg eCO2/euro	macro	purchases	PUBLIC TRANSPORT VEHICLES (PURCHASE OR LONG TERM RENTAL)	0.49			0.09					AD12
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD13	euro	VEHICULES AUTOMOBILES DE TRANSPORT DE MARCHANDISES (ACHAT OU LOC. LONGUE DUREE)	2019	0.0	0.0	0.0	0.0	0.51	0.408	kg eCO2/euro	macro	purchases	MOTOR VEHICLES FOR GOODS TRANSPORT (PURCHASE OR LONG TERM RENTAL)	0.51			0.13					AD13
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD14	euro	CYCLES ET CYCLOMOTEURS	2019	0.0	0.0	0.0	0.0	0.51	0.408	kg eCO2/euro	macro	purchases	CYCLES AND MOPEDS	0.51			0.31					AD14
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD15	euro	VEHICULES TRACTES	2019	0.0	0.0	0.0	0.0	0.67	0.536	kg eCO2/euro	macro	purchases	TOWED VEHICLES	0.67			0.1					AD15
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD21	euro	CARBURANTS A LA POMPE (AUTOMOBILES)	2019	0.0	0.0	0.0	0.0	0.69	0.5519999999999999	kg eCO2/euro	macro	vehicles	FUELS AT THE PUMP (AUTOMOBILES)	0.69			0.37					AD23
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD22	euro	KEROSENE	2019	0.0	0.0	0.0	0.0	0.9	0.7200000000000001	kg eCO2/euro	macro	vehicles	KEROSENE	0.9			0.43					AD22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD23	euro	CARBURANTS STOCKES	2019	0.0	0.0	0.0	0.0	0.69	0.5519999999999999	kg eCO2/euro	macro	vehicles	STORED FUELS	0.69			0.37					AD23
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD24	euro	CARBURANT POUR NAVIRES	2019	0.0	0.0	0.0	0.0	0.7	0.5599999999999999	kg eCO2/euro	macro	vehicles	FUEL FOR SHIPS	0.7			0.37					AD24
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD25	euro	RECHARGE ELECTRIQUE POUR VEHICULES	2019	0.0	0.0	0.0	0.0	0.56	0.4480000000000001	kg eCO2/euro	macro	vehicles	ELECTRIC RECHARGE FOR VEHICLES	0.56			0.0					AD25
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD31	euro	CONTROLES TECHNIQUES DES VEHICULES	2019	0.0	0.0	0.0	0.0	0.19	0.152	kg eCO2/euro	macro	purchases	TECHNICAL CONTROL OF VEHICLES	0.19			0.02					AD31
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD32	euro	SERVICES DE GESTION DE FLOTTE AUTOMOBILE	2019	0.0	0.0	0.0	0.0	0.12	0.096	kg eCO2/euro	macro	purchases	FLEET MANAGEMENT SERVICES	0.12			0.04					AD44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD41	euro	ENTRETIEN ET REPARATION DU PARC VEHICULE	2019	0.0	0.0	0.0	0.0	0.26	0.208	kg eCO2/euro	macro	purchases	FLEET MAINTENANCE AND REPAIR	0.26			0.11					UD23
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD42	euro	NETTOYAGE DES VEHICULES	2019	0.0	0.0	0.0	0.0	0.25	0.2	kg eCO2/euro	macro	purchases	VEHICLE CLEANING	0.25			0.13					AD42
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD43	euro	MAINTECE DU MATERIEL ET DE L'OUTILLAGE DE GARAGE	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	MAINTENANCE OF GARAGE EQUIPMENT AND TOOLS	0.24			0.13					UF43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD44	euro	NE PLUS UTILISER AD.32	2019	0.0	0.0	0.0	0.0	0.12	0.096	kg eCO2/euro	macro	purchases	DO NOT USE AD.32 ANYMORE	0.12			0.04					AD44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AD45	euro	ENTRETIEN MAINTECE DE BORNES DE RECHARGE ELECTRIQUE	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	MAINTENANCE AND MAINTENANCE OF ELECTRIC CHARGING STATIONS	0.24			0.13					UF43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE01	euro	VETEMENTS, CHAUSSURES ET ACCESSOIRES (HORS EPI)	2019	0.0	0.0	0.0	0.0	0.69	0.5519999999999999	kg eCO2/euro	macro	purchases	CLOTHES, SHOES AND ACCESSORIES (EXCEPT EPI)	0.69			0.1					AE01
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE02	euro	PETITES FOURNITURES DE SPORT	2019	0.0	0.0	0.0	0.0	0.65	0.52	kg eCO2/euro	macro	purchases	SMALL SPORTS SUPPLIES	0.65			0.15					AE03
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE03	euro	EQUIPEMENTS DE SPORT (POUR INFRASTRUCTURES,_x001A_)	2019	0.0	0.0	0.0	0.0	0.65	0.52	kg eCO2/euro	macro	purchases	SPORTS EQUIPMENT (FOR INFRASTRUCTURES,...)	0.65			0.15					AE03
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE11	euro	INSTRUMENTS DE MUSIQUE ET ACCESSOIRES	2019	0.0	0.0	0.0	0.0	0.32	0.256	kg eCO2/euro	macro	purchases	MUSICAL INSTRUMENTS AND ACCESSORIES	0.32			0.16					AE11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE21	euro	JEUX EDUCATIFS	2019	0.0	0.0	0.0	0.0	1.7	1.36	kg eCO2/euro	macro	purchases	EDUCATIONAL GAMES	1.7			2.0					AE25
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE22	euro	FOURNITURES ET EQUIPEMENTS POUR ACTIVITES EXTERIEURES	2019	0.0	0.0	0.0	0.0	0.72	0.576	kg eCO2/euro	macro	purchases	SUPPLIES AND EQUIPMENT FOR OUTDOOR ACTIVITIES	0.72			0.08					UA52
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE23	euro	AUTRES FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES	2019	0.0	0.0	0.0	0.0	0.72	0.576	kg eCO2/euro	macro	purchases	OTHER SUPPLIES AND EQUIPMENT FOR RECREATIONAL ACTIVITIES	0.72			0.08					UA52
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE24	euro	JOUETS	2019	0.0	0.0	0.0	0.0	1.7	1.36	kg eCO2/euro	macro	purchases	TOYS	1.7			2.0					AE25
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE25	euro	FIGURINES	2019	0.0	0.0	0.0	0.0	1.7	1.36	kg eCO2/euro	macro	purchases	FIGURES	1.7			2.0					AE25
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE26	euro	PELUCHES	2019	0.0	0.0	0.0	0.0	1.7	1.36	kg eCO2/euro	macro	purchases	PELUCHS	1.7			2.0					AE25
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE27	euro	ARTICLES TEXTILES ET BIJOUX	2019	0.0	0.0	0.0	0.0	0.55	0.4400000000000001	kg eCO2/euro	macro	purchases	TEXTILE ARTICLES AND JEWELRY	0.55			0.25					AE27
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE31	euro	REPARATION ET MAINTECE DES EQUIPEMENTS DE SPORT	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF SPORTS EQUIPMENT	0.24			0.13					UB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE32	euro	REPARATION ET MAINTECE DES INSTRUMENTS DE MUSIQUE	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF MUSICAL INSTRUMENTS	0.24			0.13					UB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE33	euro	REPARATION ET MAINTECE DES EQUIPEMENTS POUR ACTIVITES RECREATIVES	2019	0.0	0.0	0.0	0.0	0.24	0.192	kg eCO2/euro	macro	purchases	REPAIR AND MAINTENANCE OF EQUIPMENT FOR RECREATIONAL ACTIVITIES	0.24			0.13					UB22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE41	euro	SERVICES D'ORGANISATION ET DE PROMOTION DES MANIF. SPORTIVES (HORS EVENEMENTIEL)	2019	0.0	0.0	0.0	0.0	0.18	0.144	kg eCO2/euro	macro	purchases	SERVICES FOR THE ORGANIZATION AND PROMOTION OF SPORTS EVENTS (EXCEPT FOR EVENTS)	0.18			0.08					AE44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE42	euro	SERVICES D'EVALUATION, D'ENREGISTREMENT OU DE CONTROLE DES PRESTATIONS SPORTIVES	2019	0.0	0.0	0.0	0.0	0.18	0.144	kg eCO2/euro	macro	purchases	SERVICES OF EVALUATION, REGISTRATION OR CONTROL OF SPORTS PERFORMANCES	0.18			0.08					AE44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE43	euro	SERVICES D'EXPLOITATION DES INSTALLATIONS SPORTIVES	2019	0.0	0.0	0.0	0.0	0.34	0.272	kg eCO2/euro	macro	purchases	SPORTS FACILITIES OPERATION SERVICES	0.34			0.07					AE43
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE44	euro	AUTRES SERVICES POUR LE SPORT	2019	0.0	0.0	0.0	0.0	0.18	0.144	kg eCO2/euro	macro	purchases	OTHER SERVICES FOR SPORTS	0.18			0.08					AE44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE51	euro	SERVICES D'ANIMATION RECREATIFS	2019	0.0	0.0	0.0	0.0	0.18	0.144	kg eCO2/euro	macro	purchases	RECREATIONAL ANIMATION SERVICES	0.18			0.08					AE44
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AE52	euro	AUTRES SERVICES RECREATIFS	2019	0.0	0.0	0.0	0.0	0.18	0.144	kg eCO2/euro	macro	purchases	OTHER RECREATIONAL SERVICES	0.18			0.08					AE44
