nacres.code	nacres.description.fr	nacres.description.en	ceda.code	ceda.description	ceda.ef.kg.co2e.per.euro	ceda.uncertainty.attr.kg.co2e.per.euro	ceda.uncertainty.80pct.kg.co2e.per.euro	ademe.code	ademe.description	ademe.ef.kg.co2e.per.euro	ademe.uncertainty.attr.kg.co2e.per.euro	ademe.uncertainty.80pct.kg.co2e.per.euro	useeio.code	useeio.description	useeio.ef.kg.co2e.per.euro	useeio.uncertainty.attr.kg.co2e.per.euro	useeio.uncertainty.80pct.kg.co2e.per.euro	per1p5macro.ef.kg.co2e.per.euro	per1p5macro.uncertainty.attr.kg.co2e.per.euro	per1p5macro.uncertainty.80pct.kg.co2e.per.euro	meso.code	meso.description	meso.ef.kg.co2e.per.euro	meso.uncertainty.kg.co2e.per.euro	micro.code	micro.description	micro.ef.kg.co2e.per.euro	micro.uncertainty.kg.co2e.per.euro	method	per1p5.ef.kg.co2e.per.euro	per1p5.uncertainty.attr.kg.co2e.per.euro	per1p5.uncertainty.80pct.kg.co2e.per.euro	uncertainty.groupby	module	category	scope.source.v4	scope.source.v5
AA16	PREPARATIONS ALIMENTAIRES ET PLATS CUISINES FRAIS - REFRIGERES	FOOD PREPARATIONS AND DISHES FRESH - CHILLED						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311990	All other foods	0.28	0.0	0.224	0.73	0.39	0.584									macro	0.73	0.39	0.584	AA32	purchases	lab.life	9	4.1
AA21	BOISSONS NON ALCOOLISEES	NON-ALCOHOLIC DRINKS						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	312110	Soft drinks, bottled water, and ice	0.33	0.0	0.264	0.72	0.35	0.576									macro	0.72	0.35	0.576	AA21	purchases	lab.life	9	4.1
AA22	BOISSONS ALCOLISEES	ALCOHOLIC DRINKS						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	312120 / 312130 / 312140	Breweries and beer / Wineries and wine / Distilleries and spirits	0.44	0.06	0.352	0.68	0.3	0.544									macro	0.68	0.3	0.544	AA22	purchases	lab.life	9	4.1
AA23	CONSERVES ET EPICERIE	CANNED FOOD AND GROCERIES						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311420 / 311300 / 311990	Fruit and vegetable preservation / Sugar, candy, and chocolate / All other foods	0.52	0.21	0.416	0.77	0.28	0.6160000000000001									macro	0.77	0.28	0.6160000000000001	AA23	purchases	lab.life	9	4.1
AA31	ALIMENTS ADAPTES A L'ENFANT	FOOD SUITABLE FOR CHILDREN						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311990	All other foods	0.28	0.0	0.224	0.73	0.39	0.584									macro	0.73	0.39	0.584	AA32	purchases	lab.life	9	4.1
AA32	ALIMENTS DIETETIQUES SANS FIN MEDICALE	DIETETIC FOOD WITHOUT MEDICAL PURPOSE						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311990	All other foods	0.28	0.0	0.224	0.73	0.39	0.584									macro	0.73	0.39	0.584	AA32	purchases	lab.life	9	4.1
AA41	CONSOMMABLES POUR LA RESTAURATION	CONSUMABLES FOR CATERING						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311225 / 311300 / 311420	Refined vegetable, olive, and seed oils / Sugar, candy, and chocolate / Fruit and vegetable preservation	0.69	0.09	0.5519999999999999	0.84	0.18	0.672									macro	0.84	0.18	0.672	AA41	purchases	lab.life	9	4.1
AA42	PETITES FOURNITURES POUR LA RESTAURATION	SMALL CATERING SUPPLIES						ADEME38	Consommables de bureau - Petites fournitures	0.37	0.0	0.296	322299 / 326190 / 327100 / 327200 / 332200	All other converted paper products / Other plastic products / Clay and ceramic products / Glass and glass products / Cutlery and handtools	0.54	0.34	0.4320000000000001	0.55	0.29	0.4400000000000001									macro	0.55	0.29	0.4400000000000001	AA42	purchases	lab.life	10	4.2
AA43	MOBILIER DE CUISINE ET DE SALLE DE RESTAURATION	KITCHEN AND DINING ROOM FURNITURE						ADEME20	Meubles et autres biens manufactures	0.5	0.0	0.4	337110 / 33712N / 337127	Wood kitchen cabinets and countertops / Other household nonupholstered furniture / Institutional furniture	0.66	0.35	0.528	0.55	0.25	0.4400000000000001									macro	0.55	0.25	0.4400000000000001	AA43	purchases	lab.life	10	4.2
AA44	EQUIPEMENTS DE CUISINE ET DE SALLE DE RESTAURATION (ELECTROMENAGER,_x001A_)	KITCHEN AND CATERING EQUIPMENT (APPLIANCES,...)						ADEME25	Machines et equipements	0.7	0.0	0.5599999999999999	335221 / 335222 / 335210 / 335228	Home cooking appliances / Home refrigerators and freezers / Small electrical appliances / Major home appliances (except ovens, stoves, refrigerators and laundry machines)	0.72	0.36	0.576	0.7	0.29	0.5599999999999999									macro	0.7	0.29	0.5599999999999999	AA44	purchases	lab.life	10	4.2
AA51	PETITES FOURNITURES POUR L'HOTELLERIE	SMALL SUPPLIES FOR THE HOTEL INDUSTRY						ADEME38	Consommables de bureau - Petites fournitures	0.37	0.0	0.296	332999 / 327200	Other fabricated metal manufacturing / Glass and glass products	0.7	0.26	0.5599999999999999	0.55	0.23	0.4400000000000001									macro	0.55	0.23	0.4400000000000001	AA51	purchases	lab.life	10	4.2
AA52	MOBILIER D'HOTELLERIE	HOTEL FURNITURE						ADEME20	Meubles et autres biens manufactures	0.5	0.0	0.4	337900 / 33721A / 337122 / 33712N	Mattresses, blinds and shades / Office furniture and custom architectural woodwork and millwork / Home furniture - wood, nonupholstered / Other household nonupholstered furniture	0.88	0.38	0.7040000000000001	0.62	0.33	0.496									macro	0.62	0.33	0.496	AA52	purchases	lab.life	10	4.2
AA53	EQUIPEMENT POUR L'HOTELLERIE ET LA BUANDERIE	HOTEL AND LAUNDRY EQUIPMENT						ADEME25	Machines et equipements	0.7	0.0	0.5599999999999999	335210 / 335221 / 335222 / 335224 / 335228	Small electrical appliances / Home cooking appliances / Home refrigerators and freezers / Home laundry machines / Major home appliances (except ovens, stoves, refrigerators and laundry machines)	0.7	0.31	0.5599999999999999	0.7	0.25	0.5599999999999999									macro	0.7	0.25	0.5599999999999999	AA53	purchases	lab.life	10	4.2
AA61	SERVICES DE RESTAURATION SOCIALE (RESTAURANT PROPRE A GESTION CONCEDEE)	SOCIAL CATERING SERVICES (OWN RESTAURANT UNDER MANAGEMENT)						ADEME04	Hebergement et restauration	0.32	0.0	0.256	(722210 ; 722211 ; 722A00) / 624A00	Full-service restaurants/Limited-service restaurants/All other food and drinking places / Community food, housing, and other relief services, including rehabilitation services	0.32	0.03	0.256	0.32	0.07	0.256									macro	0.32	0.07	0.256	CB22	purchases	lab.life	9	4.5
AA62	TICKETS ET CHEQUES REPAS	MEAL TICKETS AND VOUCHERS						ADEME04	Hebergement et restauration	0.32	0.0	0.256	(722210 ; 722211 ; 722A00) / 624A00	Full-service restaurants/Limited-service restaurants/All other food and drinking places / Community food, housing, and other relief services, including rehabilitation services	0.32	0.03	0.256	0.32	0.07	0.256									macro	0.32	0.07	0.256	CB22	purchases	lab.life	9	4.5
AA63	SERVICES DE TRAITEURS / PLATEAUX REPAS	CATERING SERVICES / MEAL TRAYS						ADEME04	Hebergement et restauration	0.32	0.0	0.256	(722210 ; 722211 ; 722A00)	Full-service restaurants/Limited-service restaurants/All other food and drinking places	0.3	0.0	0.24	0.34	0.05	0.272									macro	0.34	0.05	0.272	CB22	purchases	lab.life	9	4.5
AA64	SERVICES DE RESTAURATION EXTERIEURS (RESTAURANTS)	EXTERNAL CATERING SERVICES (RESTAURANTS)						ADEME04	Hebergement et restauration	0.32	0.0	0.256	(722210 ; 722211 ; 722A00)	Full-service restaurants/Limited-service restaurants/All other food and drinking places	0.3	0.0	0.24	0.34	0.05	0.272									macro	0.34	0.05	0.272	CB22	purchases	lab.life	9	4.5
AA65	SERVICES DE CONTROLES SANITAIRES ET DE QUALITE	SANITARY AND QUALITY CONTROL SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	(722210 ; 722211 ; 722A00) / 813B00	Full-service restaurants/Limited-service restaurants/All other food and drinking places / Civic, social, professional, and similar organizations	0.24	0.08	0.192	0.25	0.11	0.2									macro	0.25	0.11	0.2	AA65	purchases	lab.life	9	4.5
AA66	SERVICES DE BLANCHISSERIE- PRESSING POUR LA RESTAURATION ET L'HOTELLERIE	LAUNDRY AND DRY CLEANING SERVICES FOR THE CATERING AND HOTEL INDUSTRY						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	812300	Dry-cleaning and laundry	0.22	0.0	0.176	0.21	0.03	0.168									macro	0.21	0.03	0.168	AA66	purchases	lab.life	9	4.5
AA71	REPARATION ET MAINTECE DES EQUIPEMENTS DE RESTAURATION ET DE CUISINE	REPAIR AND MAINTENANCE OF CATERING AND KITCHEN EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811400	Household goods repair	0.11	0.0	0.08800000000000001	0.23	0.15	0.184									macro	0.23	0.15	0.184	AB11	purchases	lab.life	9	4.5
AA72	REPARATION ET MAINTECE DES EQUIPEMENTS D'HOTELLERIE ET BUANDERIE	REPAIR AND MAINTENANCE OF HOTEL AND LAUNDRY EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811400	Household goods repair	0.11	0.0	0.08800000000000001	0.23	0.15	0.184									macro	0.23	0.15	0.184	AB11	purchases	lab.life	9	4.5
AB01	PETITES FOURNITURES ET PETITS EQUIPEMENTS DE BUREAU (HORS INFORMATIQUE)	SMALL OFFICE SUPPLIES AND EQUIPMENT (EXCLUDING COMPUTERS)						ADEME38	Consommables de bureau - Petites fournitures	0.37	0.0	0.296	339940	Office supplies (not paper)	0.58	0.0	0.464	0.5	0.12	0.4									macro	0.5	0.12	0.4	CG01	purchases	lab.life	10	4.2
AB02	MOBILIER DE BUREAU ET DE SALLES DE REUNION	OFFICE AND MEETING ROOM FURNITURE						ADEME20	Meubles et autres biens manufactures	0.5	0.0	0.4	33721A	Office furniture and custom architectural woodwork and millwork	0.45	0.0	0.36	0.42	0.09	0.336									macro	0.42	0.09	0.336	AB03	purchases	lab.life	10	4.2
AB03	MOBILIER ET EQUIPEMENTS SPECIFIQUES ERGONOMIQUES	SPECIFIC ERGONOMIC FURNITURE AND EQUIPMENT						ADEME20	Meubles et autres biens manufactures	0.5	0.0	0.4	33721A	Office furniture and custom architectural woodwork and millwork	0.45	0.0	0.36	0.42	0.09	0.336									macro	0.42	0.09	0.336	AB03	purchases	lab.life	10	4.2
AB11	REPARATION ET MAINTECE DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION	REPAIR AND MAINTENANCE OF OFFICE AND MEETING ROOM EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811400	Household goods repair	0.11	0.0	0.08800000000000001	0.23	0.15	0.184									macro	0.23	0.15	0.184	AB11	purchases	lab.life	9	4.5
AC01	PAPIERS BLANCS OU COLORES COURANTS POUR IMPRESSION-REPROGRAPHIE	COMMON WHITE OR COLORED PAPERS FOR PRINTING-REPROGRAPHY						ADEME17	Papier et carton	0.9	0.0	0.7200000000000001	322230 / 322210	Stationery / Paper bags and coated paper	0.6	0.06	0.48	0.68	0.19	0.544									macro	0.68	0.19	0.544	AC01	purchases	lab.life	9	4.1
AC02	PAPIERS CARTONNES POUR IMPRESSION-REPROGRAPHIE	CARDBOARD PAPERS FOR PRINTING-REPROGRAPHY						ADEME17	Papier et carton	0.9	0.0	0.7200000000000001	322230	Stationery	0.56	0.0	0.4480000000000001	0.67	0.2	0.536									macro	0.67	0.2	0.536	AC01	purchases	lab.life	9	4.1
AC03	AUTRES SUPPORTS PAPIER SPECIFIQUES D'IMPRESSION-REPROGRAPHIE	OTHER SPECIFIC PAPER SUPPORTS FOR PRINTING-REPROGRAPHY						ADEME17	Papier et carton	0.9	0.0	0.7200000000000001	322210	Paper bags and coated paper	0.64	0.0	0.512	0.7	0.18	0.5599999999999999									macro	0.7	0.18	0.5599999999999999	AC01	purchases	lab.life	9	4.1
AC11	CONSOMMABLES POUR PHOTOCOPIEURS (ENCRES, AGRAPHES,_x001A_)	CONSUMABLES FOR PHOTOCOPIERS (INKS, STENCILS,...)						ADEME37	Consommables de bureau - Consommables bureautiques	0.92	0.0	0.7360000000000001	325910	Ink and ink cartridges	0.41	0.0	0.328	0.74	0.28	0.592									macro	0.74	0.28	0.592	IA22	purchases	lab.life	9	4.1
AC12	SUPPORTS SPECIFIQUES D'IMPRESSION	SPECIFIC PRINTING SUPPORTS						ADEME37	Consommables de bureau - Consommables bureautiques	0.92	0.0	0.7360000000000001	322230 / 323110	Stationery / Books, newspapers, magazines, and other print media	0.48	0.11	0.384	0.63	0.26	0.504									macro	0.63	0.26	0.504	AC12	purchases	lab.life	9	4.1
AC21	EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE	REPROGRAPHY EQUIPMENT OF PROXIMITY						ADEME26	Produits informatiques, electroniques et optiques	0.4	0.0	0.3200000000000001	333316	Photography and photocopying equipment	0.57	0.0	0.456	0.49	0.09	0.392									macro	0.49	0.09	0.392	IE36	purchases	lab.life	10	4.2
AC22	EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT POUR IMPRIMERIE	HIGH SPEED REPROGRAPHY EQUIPMENT FOR PRINTERS						ADEME26	Produits informatiques, electroniques et optiques	0.4	0.0	0.3200000000000001	333316	Photography and photocopying equipment	0.57	0.0	0.456	0.49	0.09	0.392									macro	0.49	0.09	0.392	IE36	purchases	lab.life	10	4.2
AC23	AUTRES EQUIPEMENTS POUR ATELIER DE REPROGRAPHIE	OTHER REPROGRAPHY SHOP EQUIPMENT						ADEME25	Machines et equipements	0.7	0.0	0.5599999999999999	333316	Photography and photocopying equipment	0.57	0.0	0.456	0.59	0.1	0.472									macro	0.59	0.1	0.472	AC23	purchases	lab.life	10	4.2
AC31	SERVICES D'IMPRESSION ET DE REPROGRAPHIE	PRINTING AND REPROGRAPHY SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	323110	Books, newspapers, magazines, and other print media	0.4	0.0	0.3200000000000001	0.35	0.16	0.28									macro	0.35	0.16	0.28	AC31	purchases	lab.life	9	4.5
AC41	REPARATION ET MAINTECE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE	REPAIR AND MAINTENANCE OF LOCAL REPROGRAPHIC EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811300	Commercial machinery repair	0.19	0.0	0.152	0.24	0.13	0.192									macro	0.24	0.13	0.192	UF43	purchases	lab.life	9	4.5
AC42	REPARATION ET MAINTECE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT	REPAIR AND MAINTENANCE OF HIGH-SPEED REPROGRAPHIC EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811300	Commercial machinery repair	0.19	0.0	0.152	0.24	0.13	0.192									macro	0.24	0.13	0.192	UF43	purchases	lab.life	9	4.5
AC43	REPARATION ET MAINTECE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE	REPAIR AND MAINTENANCE OF OTHER REPROGRAPHY WORKSHOP EQUIPMENT						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811300	Commercial machinery repair	0.19	0.0	0.152	0.24	0.13	0.192									macro	0.24	0.13	0.192	UF43	purchases	lab.life	9	4.5
AD01	ACCESSOIRES ET PIECES DETACHEES POUR LE PARC DE VEHICULES	ACCESSORIES AND SPARE PARTS FOR THE VEHICLE FLEET						ADEME24	Produits metalliques, sauf machines et equipements	0.6	0.0	0.48	(336310 ; 336320 ; 336350 ; 336360 ; 336370 ; 336390 ; 3363A0 )	Vehicle engines and engine parts/Vehicle electrical and electronic equipment/Transmission and power train parts/Vehicle seating and interior trim (upholstery)/Vehicle metal stamping/Other vehicle parts/Motor vehicle steering, suspension components (except spring), and brake systems	0.42	0.0	0.336	0.6	0.18	0.48									macro	0.6	0.18	0.48	AD01	purchases	lab.life	10	4.2
AD02	MATERIEL, OUTILLAGE ET EQUIPEMENTS DE GARAGE	GARAGE EQUIPMENT AND TOOLS						ADEME24	Produits metalliques, sauf machines et equipements	0.6	0.0	0.48	332999	Other fabricated metal manufacturing	0.52	0.0	0.416	0.55	0.05	0.4400000000000001									macro	0.55	0.05	0.4400000000000001	AD02	purchases	lab.life	10	4.2
AD03	PRODUITS POUR L'ENTRETIEN DES VEHICULES	PRODUCTS FOR VEHICLE MAINTENANCE						ADEME21	Produits chimiques	1.6	0.0	1.28	324190 / 325110 / 325190	Other petroleum and coal products / Petrochemicals / Other basic organic chemicals	1.3	0.38	1.04	1.3	0.47	1.04									macro	1.3	0.5	1.04	AD03	purchases	lab.life	9	4.1
AD04	MATERIEL D'ESSAIS DE CHOCS ET ACCESSOIRES	IMPACT TEST EQUIPMENT AND ACCESSORIES						ADEME20	Meubles et autres biens manufactures	0.5	0.0	0.4	33399A	Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery	0.2	0.0	0.16	0.38	0.15	0.304									macro	0.38	0.15	0.304	AD04	purchases	lab.life	10	4.2
AD11	VEHICULES AUTOMOBILES DE TRANSPORT DE PERSONNES (ACHAT OU LOC. LONGUE DUREE)	PASSENGER VEHICLES (PURCHASE OR LONG TERM RENTAL)						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	336111	Automobiles	0.5	0.0	0.4	0.56	0.06	0.4480000000000001									macro	0.56	0.06	0.4480000000000001	AD11	purchases	lab.life	10	4.2
AD12	VEHICULES AUTOMOBILES DE TRANSPORT EN COMMUN (ACHAT OU LOC. LONGUE DUREE)	PUBLIC TRANSPORT VEHICLES (PURCHASE OR LONG TERM RENTAL)						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	336120	Heavy duty trucks	0.39	0.0	0.3120000000000001	0.49	0.09	0.392									macro	0.49	0.09	0.392	AD12	purchases	lab.life	10	4.2
AD13	VEHICULES AUTOMOBILES DE TRANSPORT DE MARCHANDISES (ACHAT OU LOC. LONGUE DUREE)	MOTOR VEHICLES FOR GOODS TRANSPORT (PURCHASE OR LONG TERM RENTAL)						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	336112 / 336120	Pickup trucks, vans, and SUVs / Heavy duty trucks	0.36	0.04	0.288	0.51	0.13	0.408									macro	0.51	0.13	0.408	AD13	purchases	lab.life	10	4.2
AD14	CYCLES ET CYCLOMOTEURS	CYCLES AND MOPEDS						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	336991	Motorcycle, bicycle, and parts	0.18	0.0	0.144	0.51	0.31	0.408									macro	0.51	0.31	0.408	AD14	purchases	lab.life	10	4.2
AD15	VEHICULES TRACTES	TOWED VEHICLES						ADEME27	Materiel de transport	0.7	0.0	0.5599999999999999	336214	Travel trailer and campers	0.56	0.0	0.4480000000000001	0.67	0.1	0.536									macro	0.67	0.1	0.536	AD15	purchases	lab.life	10	4.2
AD21	CARBURANTS A LA POMPE (AUTOMOBILES)	FUELS AT THE PUMP (AUTOMOBILES)						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	324190	Other petroleum and coal products	1.1	0.0	0.8800000000000001	0.69	0.37	0.5519999999999999									macro	0.69	0.37	0.5519999999999999	AD23	vehicles	lab.life	2	1.2
AD22	KEROSENE	KEROSENE						ADEME10	Transport aerien	1.2	0.0	0.96	324190	Other petroleum and coal products	1.1	0.0	0.8800000000000001	0.9	0.43	0.7200000000000001									macro	0.9	0.43	0.7200000000000001	AD22	vehicles	lab.life	2	1.2
AD23	CARBURANTS STOCKES	STORED FUELS						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001	324190	Other petroleum and coal products	1.1	0.0	0.8800000000000001	0.69	0.37	0.5519999999999999									macro	0.69	0.37	0.5519999999999999	AD23	vehicles	lab.life	2	1.2
AD24	CARBURANT POUR NAVIRES	FUEL FOR SHIPS						ADEME09	Transport fluvial et maritime	0.59	0.0	0.472	324190	Other petroleum and coal products	1.1	0.0	0.8800000000000001	0.7	0.37	0.5599999999999999									macro	0.7	0.37	0.5599999999999999	AD24	vehicles	lab.life	2	1.2
AD25	RECHARGE ELECTRIQUE POUR VEHICULES	ELECTRIC RECHARGE FOR VEHICLES						ADEME08	Transport terrestre	0.56	0.0	0.4480000000000001			0.0	0.0	0.0	0.56	0.0	0.4480000000000001									macro	0.56	0.0	0.4480000000000001	AD25	vehicles	lab.life	6	2.1
AD31	CONTROLES TECHNIQUES DES VEHICULES	TECHNICAL CONTROL OF VEHICLES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	811100	Vehicle repair	0.18	0.0	0.144	0.19	0.02	0.152									macro	0.19	0.02	0.152	AD31	purchases	lab.life	9	4.5
AD32	SERVICES DE GESTION DE FLOTTE AUTOMOBILE	FLEET MANAGEMENT SERVICES						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561100	Office administration	0.09	0.0	0.072	0.12	0.04	0.096									macro	0.12	0.04	0.096	AD44	purchases	lab.life	9	4.5
AD41	ENTRETIEN ET REPARATION DU PARC VEHICULE	FLEET MAINTENANCE AND REPAIR						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811100	Vehicle repair	0.18	0.0	0.144	0.26	0.11	0.208									macro	0.26	0.11	0.208	UD23	purchases	lab.life	9	4.5
AD42	NETTOYAGE DES VEHICULES	VEHICLE CLEANING						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	811100	Vehicle repair	0.18	0.0	0.144	0.25	0.13	0.2									macro	0.25	0.13	0.2	AD42	purchases	lab.life	9	4.5
AD43	MAINTECE DU MATERIEL ET DE L'OUTILLAGE DE GARAGE	MAINTENANCE OF GARAGE EQUIPMENT AND TOOLS						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811300	Commercial machinery repair	0.19	0.0	0.152	0.24	0.13	0.192									macro	0.24	0.13	0.192	UF43	purchases	lab.life	9	4.5
AD44	NE PLUS UTILISER AD.32	DO NOT USE AD.32 ANYMORE						ADEME05	Services (imprimerie, publicite, architecture et ingenierie, maintenance multi-technique des batiments, gardiennage, nettoyage, securite, agence de voyage, autres services aux entreprises)	0.17	0.0	0.136	561100	Office administration	0.09	0.0	0.072	0.12	0.04	0.096									macro	0.12	0.04	0.096	AD44	purchases	lab.life	9	4.5
AD45	ENTRETIEN MAINTECE DE BORNES DE RECHARGE ELECTRIQUE	MAINTENANCE AND MAINTENANCE OF ELECTRIC CHARGING STATIONS						ADEME07	Reparation et installation de machines et d'equipements	0.39	0.0	0.3120000000000001	811300	Commercial machinery repair	0.19	0.0	0.152	0.24	0.13	0.192									macro	0.24	0.13	0.192	UF43	purchases	lab.life	9	4.5
